url,week_id,week_position,song,performer,song_id,instance,previous_week_position,peak_position,weeks_on_chart,week_date,year
http://www.billboard.com/charts/hot-100/2009-12-05,12/5/2009,17,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem","ForeverDrake Featuring Kanye West, Lil Wayne & Eminem",1,19,8,10,2009-12-05,2009
http://www.billboard.com/charts/hot-100/2012-09-15,9/15/2012,59,Amen,Meek Mill Featuring Drake,AmenMeek Mill Featuring Drake,1,57,57,11,2012-09-15,2012
http://www.billboard.com/charts/hot-100/2017-06-17,6/17/2017,60,Portland,Drake Featuring Quavo & Travis Scott,PortlandDrake Featuring Quavo & Travis Scott,1,61,9,11,2017-06-17,2017
http://www.billboard.com/charts/hot-100/2017-01-21,1/21/2017,63,Sneakin',Drake Featuring 21 Savage,Sneakin'Drake Featuring 21 Savage,1,66,28,11,2017-01-21,2017
http://www.billboard.com/charts/hot-100/2013-01-19,1/19/2013,64,Poetic Justice,Kendrick Lamar Featuring Drake,Poetic JusticeKendrick Lamar Featuring Drake,1,74,64,11,2013-01-19,2013
http://www.billboard.com/charts/hot-100/2015-12-19,12/19/2015,68,Big Rings,Drake & Future,Big RingsDrake & Future,1,75,52,11,2015-12-19,2015
http://www.billboard.com/charts/hot-100/2012-06-16,6/16/2012,82,Crew Love,Drake Featuring The Weeknd,Crew LoveDrake Featuring The Weeknd,1,80,80,11,2012-06-16,2012
http://www.billboard.com/charts/hot-100/2015-09-26,9/26/2015,88,R.I.C.O.,Meek Mill Featuring Drake,R.I.C.O.Meek Mill Featuring Drake,1,87,40,11,2015-09-26,2015
http://www.billboard.com/charts/hot-100/2015-05-09,5/9/2015,89,10 Bands,Drake,10 BandsDrake,1,82,58,11,2015-05-09,2015
http://www.billboard.com/charts/hot-100/2015-12-12,12/12/2015,92,Right Hand,Drake,Right HandDrake,1,91,58,11,2015-12-12,2015
https://www.billboard.com/charts/hot-100/2020-07-25,7/25/2020,93,Chicago Freestyle,Drake Featuring Giveon,Chicago FreestyleDrake Featuring Giveon,1,84,14,11,2020-07-25,2020
http://www.billboard.com/charts/hot-100/2016-07-30,7/30/2016,93,Childs Play,Drake,Childs PlayDrake,1,92,49,11,2016-07-30,2016
http://www.billboard.com/charts/hot-100/2014-04-26,4/26/2014,100,Odio,Romeo Santos Featuring Drake,OdioRomeo Santos Featuring Drake,1,99,45,11,2014-04-26,2014
http://www.billboard.com/charts/hot-100/2016-07-09,7/9/2016,1,One Dance,Drake Featuring WizKid & Kyla,One DanceDrake Featuring WizKid & Kyla,1,1,1,12,2016-07-09,2016
http://www.billboard.com/charts/hot-100/2009-08-08,8/8/2009,2,Best I Ever Had,Drake,Best I Ever HadDrake,1,2,2,12,2009-08-08,2009
http://www.billboard.com/charts/hot-100/2013-05-11,5/11/2013,11,Started From The Bottom,Drake,Started From The BottomDrake,1,10,6,12,2013-05-11,2013
https://www.billboard.com/charts/hot-100/2018-09-29,9/29/2018,15,Nonstop,Drake,NonstopDrake,1,17,2,12,2018-09-29,2018
http://www.billboard.com/charts/hot-100/2016-08-06,8/6/2016,18,Controlla,Drake,ControllaDrake,1,16,16,12,2016-08-06,2016
http://www.billboard.com/charts/hot-100/2015-01-31,1/31/2015,19,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown","OnlyNicki Minaj Featuring Drake, Lil Wayne & Chris Brown",1,16,12,12,2015-01-31,2015
http://www.billboard.com/charts/hot-100/2010-06-12,6/12/2010,22,Over,Drake,OverDrake,1,19,14,12,2010-06-12,2010
http://www.billboard.com/charts/hot-100/2010-11-20,11/20/2010,23,Right Above It,Lil Wayne Featuring Drake,Right Above ItLil Wayne Featuring Drake,1,22,6,12,2010-11-20,2010
http://www.billboard.com/charts/hot-100/2012-02-18,2/18/2012,23,Take Care,Drake Featuring Rihanna,Take CareDrake Featuring Rihanna,1,26,9,12,2012-02-18,2012
http://www.billboard.com/charts/hot-100/2011-11-19,11/19/2011,24,She Will,Lil Wayne Featuring Drake,She WillLil Wayne Featuring Drake,1,23,3,12,2011-11-19,2011
http://www.billboard.com/charts/hot-100/2010-04-10,4/10/2010,26,Say Something,Timbaland Featuring Drake,Say SomethingTimbaland Featuring Drake,1,25,23,12,2010-04-10,2010
http://www.billboard.com/charts/hot-100/2009-10-17,10/17/2009,27,Successful,Drake Featuring Trey Songz & Lil Wayne,SuccessfulDrake Featuring Trey Songz & Lil Wayne,1,21,17,12,2009-10-17,2009
http://www.billboard.com/charts/hot-100/2015-05-09,5/9/2015,29,Blessings,Big Sean Featuring Drake,BlessingsBig Sean Featuring Drake,1,28,28,12,2015-05-09,2015
https://www.billboard.com/charts/hot-100/2020-10-17,10/17/2020,34,Popstar,DJ Khaled Featuring Drake,PopstarDJ Khaled Featuring Drake,1,21,3,12,2020-10-17,2020
http://www.billboard.com/charts/hot-100/2017-06-24,6/24/2017,34,Passionfruit,Drake,PassionfruitDrake,1,27,8,12,2017-06-24,2017
http://www.billboard.com/charts/hot-100/2014-10-25,10/25/2014,37,0 To 100 / The Catch Up,Drake,0 To 100 / The Catch UpDrake,1,38,35,12,2014-10-25,2014
http://www.billboard.com/charts/hot-100/2012-10-13,10/13/2012,38,Pop That,"French Montana Featuring Rick Ross, Drake, Lil Wayne","Pop ThatFrench Montana Featuring Rick Ross, Drake, Lil Wayne",1,39,38,12,2012-10-13,2012
http://www.billboard.com/charts/hot-100/2013-12-28,12/28/2013,40,All Me,Drake Featuring 2 Chainz & Big Sean,All MeDrake Featuring 2 Chainz & Big Sean,1,37,20,12,2013-12-28,2013
http://www.billboard.com/charts/hot-100/2015-11-07,11/7/2015,40,Back To Back,Drake,Back To BackDrake,1,38,21,12,2015-11-07,2015
http://www.billboard.com/charts/hot-100/2014-08-30,8/30/2014,45,Believe Me,Lil Wayne Featuring Drake,Believe MeLil Wayne Featuring Drake,1,42,26,12,2014-08-30,2014
http://www.billboard.com/charts/hot-100/2016-07-09,7/9/2016,47,Pop Style,Drake Featuring The Throne,Pop StyleDrake Featuring The Throne,1,45,16,12,2016-07-09,2016
http://www.billboard.com/charts/hot-100/2017-03-25,3/25/2017,54,Both,Gucci Mane Featuring Drake,BothGucci Mane Featuring Drake,1,49,41,12,2017-03-25,2017
http://www.billboard.com/charts/hot-100/2013-01-26,1/26/2013,59,Poetic Justice,Kendrick Lamar Featuring Drake,Poetic JusticeKendrick Lamar Featuring Drake,1,64,59,12,2013-01-26,2013
http://www.billboard.com/charts/hot-100/2017-06-24,6/24/2017,64,Portland,Drake Featuring Quavo & Travis Scott,PortlandDrake Featuring Quavo & Travis Scott,1,60,9,12,2017-06-24,2017
http://www.billboard.com/charts/hot-100/2015-12-26,12/26/2015,64,Big Rings,Drake & Future,Big RingsDrake & Future,1,68,52,12,2015-12-26,2015
http://www.billboard.com/charts/hot-100/2012-09-22,9/22/2012,65,Amen,Meek Mill Featuring Drake,AmenMeek Mill Featuring Drake,1,59,57,12,2012-09-22,2012
